Plate,Well Number,Proliferation Score,Video Path
LT0002_24,131,3.0114,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00131_01.mp4
LT0002_24,73,3.9000,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00073_01.mp4
LT0002_24,19,3.9111,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00019_01.mp4
LT0002_24,305,5.1053,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00305_01.mp4
LT0002_24,229,3.2424,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00229_01.mp4
LT0002_24,332,1.8462,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00332_01.mp4
LT0002_24,37,3.1852,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00037_01.mp4
LT0002_24,79,4.1957,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00079_01.mp4
LT0002_24,29,3.5366,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00029_01.mp4
LT0002_24,175,3.3333,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00175_01.mp4
LT0002_24,224,3.6078,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00224_01.mp4
LT0002_24,188,4.1207,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00188_01.mp4
LT0002_24,300,3.0877,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00300_01.mp4
LT0002_24,156,3.2524,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00156_01.mp4
LT0002_24,12,3.6290,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00012_01.mp4
LT0002_24,260,2.4250,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00260_01.mp4
LT0002_24,76,3.9091,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00076_01.mp4
LT0002_24,349,1.5672,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00349_01.mp4
LT0002_24,113,3.3088,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00113_01.mp4
LT0002_24,279,3.7391,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00279_01.mp4
LT0002_24,31,2.2273,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00031_01.mp4
LT0002_24,361,2.8718,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00361_01.mp4
LT0002_24,183,3.6000,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00183_01.mp4
LT0002_24,379,2.8824,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00379_01.mp4
LT0002_24,246,3.7143,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00246_01.mp4
LT0002_24,137,3.0500,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00137_01.mp4
LT0002_24,274,2.6481,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00274_01.mp4
LT0002_24,363,3.1528,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00363_01.mp4
LT0002_24,273,3.8750,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00273_01.mp4
LT0002_24,103,4.2500,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00103_01.mp4
LT0002_24,355,1.6786,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00355_01.mp4
LT0002_24,253,3.2787,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00253_01.mp4
LT0002_24,315,3.0800,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00315_01.mp4
LT0002_24,105,3.8333,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0002_24/00105_01.mp4
