plate_well_id,plate,well,proliferation_score,proliferation_category,prompt,video_path
LT0003_15-00196_01,LT0003_15,196,2.8276,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00196_01.mp4
LT0003_15-00156_01,LT0003_15,156,2.1961,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00156_01.mp4
LT0003_15-00037_01,LT0003_15,37,2.2571,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00037_01.mp4
LT0003_15-00214_01,LT0003_15,214,2.6538,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00214_01.mp4
LT0003_15-00092_01,LT0003_15,92,2.0811,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00092_01.mp4
LT0003_15-00060_01,LT0003_15,60,2.791,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00060_01.mp4
LT0003_15-00384_01,LT0003_15,384,2.1449,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00384_01.mp4
LT0003_15-00336_01,LT0003_15,336,2.1733,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00336_01.mp4
LT0003_15-00333_01,LT0003_15,333,2.0,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00333_01.mp4
LT0003_15-00049_01,LT0003_15,49,2.0,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00049_01.mp4
LT0003_15-00329_01,LT0003_15,329,2.2105,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00329_01.mp4
LT0003_15-00220_01,LT0003_15,220,3.8182,high,<ALEXANDER> Time-lapse microscopy video with high proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00220_01.mp4
LT0003_15-00266_01,LT0003_15,266,2.4722,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00266_01.mp4
LT0003_15-00141_01,LT0003_15,141,2.25,low,<ALEXANDER> Time-lapse microscopy video with low proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00141_01.mp4
LT0003_15-00040_01,LT0003_15,40,3.0676,medium,<ALEXANDER> Time-lapse microscopy video with medium proliferation.,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00040_01.mp4
