Plate,Well Number,Proliferation Score,Video Path
LT0003_15,196,2.8276,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00196_01.mp4
LT0003_15,156,2.1961,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00156_01.mp4
LT0003_15,37,2.2571,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00037_01.mp4
LT0003_15,214,2.6538,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00214_01.mp4
LT0003_15,92,2.0811,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00092_01.mp4
LT0003_15,60,2.7910,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00060_01.mp4
LT0003_15,384,2.1449,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00384_01.mp4
LT0003_15,336,2.1733,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00336_01.mp4
LT0003_15,333,2.0000,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00333_01.mp4
LT0003_15,49,2.0000,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00049_01.mp4
LT0003_15,329,2.2105,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00329_01.mp4
LT0003_15,220,3.8182,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00220_01.mp4
LT0003_15,266,2.4722,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00266_01.mp4
LT0003_15,141,2.2500,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00141_01.mp4
LT0003_15,40,3.0676,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00040_01.mp4
LT0003_15,222,3.0000,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00222_01.mp4
LT0003_15,358,2.7042,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00358_01.mp4
LT0003_15,233,2.3125,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00233_01.mp4
LT0003_15,349,2.9130,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00349_01.mp4
LT0003_15,341,3.9091,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00341_01.mp4
LT0003_15,75,2.9344,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00075_01.mp4
LT0003_15,55,2.4545,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00055_01.mp4
LT0003_15,216,2.4615,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00216_01.mp4
LT0003_15,57,2.9500,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00057_01.mp4
LT0003_15,273,2.2162,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00273_01.mp4
LT0003_15,265,2.9167,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00265_01.mp4
LT0003_15,128,2.4118,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00128_01.mp4
LT0003_15,32,3.0192,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00032_01.mp4
LT0003_15,218,2.9388,/proj/aicell/users/x_aleho/video-diffusion/data/processed/idr0013/LT0003_15/00218_01.mp4
