plate,well_number,well,cell_death_label,migration_speed_label,proliferation_label,cell_death_score,migration_speed_score,proliferation_score,extreme_count,video_path,video_filename,ch5_path,initial_cell_count,initial_cell_count_label
LT0003_40,3,A3,MED,HIGH,HIGH,0.007827,1.0235,1.941889,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00003_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00003_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00003_01.ch5,83,MED
LT0003_40,5,A5,LOW,MED,HIGH,-0.003222,0.646639,1.116339,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00005_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00005_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00005_01.ch5,63,MED
LT0003_40,9,A9,LOW,HIGH,MED,-0.005475,2.459724,-0.092635,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00009_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00009_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00009_01.ch5,32,LOW
LT0003_40,10,A10,LOW,HIGH,MED,-0.002654,0.99533,0.239249,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00010_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00010_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00010_01.ch5,70,MED
LT0003_40,11,A11,MED,LOW,HIGH,0.003482,-0.104267,0.86758,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00011_01-cd-MED_ms-LOW_pr-HIGH.mp4,LT0003_40-00011_01-cd-MED_ms-LOW_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00011_01.ch5,82,MED
LT0003_40,13,A13,LOW,HIGH,HIGH,-0.003386,1.179438,1.004031,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00013_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00013_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00013_01.ch5,118,HIGH
LT0003_40,15,A15,LOW,HIGH,MED,-0.001653,1.060898,0.401304,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00015_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00015_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00015_01.ch5,68,MED
LT0003_40,16,A16,MED,HIGH,HIGH,0.01482,1.066098,1.611531,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00016_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00016_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00016_01.ch5,81,MED
LT0003_40,17,A17,LOW,HIGH,HIGH,-0.005909,1.095149,1.267781,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00017_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00017_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00017_01.ch5,76,MED
LT0003_40,20,A20,LOW,HIGH,HIGH,-0.005525,1.239555,0.816889,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00020_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00020_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00020_01.ch5,46,MED
