plate,well_number,well,cell_death_label,migration_speed_label,proliferation_label,cell_death_score,migration_speed_score,proliferation_score,extreme_count,video_path,video_filename,ch5_path,technical_prompt,visual_prompt,proliferation_score_normalized,migration_speed_score_normalized,cell_death_score_normalized
LT0003_40,3,A3,MED,HIGH,HIGH,0.007827,1.0235,1.941889,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00003_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00003_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00003_01.ch5,"HeLa time-lapse with HIGH proliferation, FAST migration, and MEDIUM cell death.","Time-lapse microscopy video of multiple cells. The cells divide often, move rapidly, and occasionally disappear due to cell death.",0.8081540428807309,0.30823778119021283,0.03920092102017081
LT0003_40,5,A5,LOW,MED,HIGH,-0.003222,0.646639,1.116339,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00005_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00005_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00005_01.ch5,"HeLa time-lapse with HIGH proliferation, MEDIUM migration, and LOW cell death.","Time-lapse microscopy video of multiple cells. The cells divide often, move moderately, and rarely disappear due to cell death.",0.6732982408223566,0.26813062472216614,0.02622088037310715
LT0003_40,9,A9,LOW,HIGH,MED,-0.005475,2.459724,-0.092635,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00009_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00009_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00009_01.ch5,"HeLa time-lapse with MEDIUM proliferation, FAST migration, and LOW cell death.","Time-lapse microscopy video of multiple cells. The cells occasionally divide, move rapidly, and rarely disappear due to cell death.",0.47580910214181493,0.46108687061884546,0.023574122152649694
LT0003_40,10,A10,LOW,HIGH,MED,-0.002654,0.99533,0.239249,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00010_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00010_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00010_01.ch5,"HeLa time-lapse with MEDIUM proliferation, FAST migration, and LOW cell death.","Time-lapse microscopy video of multiple cells. The cells occasionally divide, move rapidly, and rarely disappear due to cell death.",0.5300232418188079,0.3052398095303572,0.026888150088695183
LT0003_40,11,A11,MED,LOW,HIGH,0.003482,-0.104267,0.86758,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00011_01-cd-MED_ms-LOW_pr-HIGH.mp4,LT0003_40-00011_01-cd-MED_ms-LOW_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00011_01.ch5,"HeLa time-lapse with HIGH proliferation, SLOW migration, and MEDIUM cell death.","Time-lapse microscopy video of multiple cells. The cells divide often, move slowly, and occasionally disappear due to cell death.",0.632662792376788,0.18821600252778925,0.03409654265004758
LT0003_40,13,A13,LOW,HIGH,HIGH,-0.003386,1.179438,1.004031,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00013_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00013_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00013_01.ch5,"HeLa time-lapse with HIGH proliferation, FAST migration, and LOW cell death.","Time-lapse microscopy video of multiple cells. The cells divide often, move rapidly, and rarely disappear due to cell death.",0.6549524284335587,0.3248333688613018,0.026028217990437367
LT0003_40,15,A15,LOW,HIGH,MED,-0.001653,1.060898,0.401304,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00015_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00015_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00015_01.ch5,"HeLa time-lapse with MEDIUM proliferation, FAST migration, and LOW cell death.","Time-lapse microscopy video of multiple cells. The cells occasionally divide, move rapidly, and rarely disappear due to cell death.",0.5564953598038722,0.3122178360050969,0.02806409548535649
LT0003_40,16,A16,MED,HIGH,HIGH,0.01482,1.066098,1.611531,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00016_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00016_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00016_01.ch5,"HeLa time-lapse with HIGH proliferation, FAST migration, and MEDIUM cell death.","Time-lapse microscopy video of multiple cells. The cells divide often, move rapidly, and occasionally disappear due to cell death.",0.7541891793880285,0.31277124220428926,0.047416092008035426
LT0003_40,17,A17,LOW,HIGH,HIGH,-0.005909,1.095149,1.267781,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00017_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00017_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00017_01.ch5,"HeLa time-lapse with HIGH proliferation, FAST migration, and LOW cell death.","Time-lapse microscopy video of multiple cells. The cells divide often, move rapidly, and rarely disappear due to cell death.",0.6980366968520633,0.31586297364520044,0.02306427170095039
LT0003_40,20,A20,LOW,HIGH,HIGH,-0.005525,1.239555,0.816889,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00020_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00020_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00020_01.ch5,"HeLa time-lapse with HIGH proliferation, FAST migration, and LOW cell death.","Time-lapse microscopy video of multiple cells. The cells divide often, move rapidly, and rarely disappear due to cell death.",0.6243822818539352,0.3312312766453112,0.023515383621347932
