plate,well_number,well,cell_death_label,migration_speed_label,proliferation_label,extreme_count,video_path,video_filename,ch5_path
LT0003_40,3,A3,MED,HIGH,HIGH,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00003_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00003_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00003_01.ch5
LT0003_40,5,A5,LOW,MED,HIGH,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00005_01-cd-LOW_ms-MED_pr-HIGH.mp4,LT0003_40-00005_01-cd-LOW_ms-MED_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00005_01.ch5
LT0003_40,9,A9,LOW,HIGH,MED,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00009_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00009_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00009_01.ch5
LT0003_40,10,A10,LOW,HIGH,MED,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00010_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00010_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00010_01.ch5
LT0003_40,11,A11,MED,LOW,HIGH,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00011_01-cd-MED_ms-LOW_pr-HIGH.mp4,LT0003_40-00011_01-cd-MED_ms-LOW_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00011_01.ch5
LT0003_40,13,A13,LOW,HIGH,HIGH,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00013_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00013_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00013_01.ch5
LT0003_40,15,A15,LOW,HIGH,MED,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00015_01-cd-LOW_ms-HIGH_pr-MED.mp4,LT0003_40-00015_01-cd-LOW_ms-HIGH_pr-MED.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00015_01.ch5
LT0003_40,16,A16,MED,HIGH,HIGH,2,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00016_01-cd-MED_ms-HIGH_pr-HIGH.mp4,LT0003_40-00016_01-cd-MED_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00016_01.ch5
LT0003_40,17,A17,LOW,HIGH,HIGH,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00017_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00017_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00017_01.ch5
LT0003_40,20,A20,LOW,HIGH,HIGH,3,/proj/aicell/users/x_aleho/video-diffusion/data/processed/t2v/LT0003_40-00020_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,LT0003_40-00020_01-cd-LOW_ms-HIGH_pr-HIGH.mp4,../../data/raw/idr0013/t2v/LT0003_40--ex2005_05_11--sp2005_03_16--tt17--c3/hdf5/00020_01.ch5
