Plate,Well,Plate_Well,well_number,cell_death,migration_speed,proliferation,Has Phenotype,cell_death_label,migration_speed_label,proliferation_label,extreme_count
LT0001_02,A20,LT0001_02_A20,20,-0.002631,1.298089,1.08628,,LOW,HIGH,HIGH,3
LT0001_02,A21,LT0001_02_A21,21,-0.003591,1.291882,0.589791,,LOW,HIGH,MED,2
LT0001_02,B6,LT0001_02_B6,30,-0.0024,0.522008,1.190447,,LOW,MED,HIGH,2
LT0001_02,B23,LT0001_02_B23,47,0.000272,0.906874,0.905447,,MED,HIGH,HIGH,2
LT0001_02,C3,LT0001_02_C3,51,-0.003506,0.09843,0.689919,,LOW,MED,HIGH,2
LT0001_02,C11,LT0001_02_C11,59,-0.00208,0.404745,0.651792,,LOW,MED,HIGH,2
LT0001_02,C12,LT0001_02_C12,60,0.001572,0.958655,0.621857,,MED,HIGH,HIGH,2
LT0001_02,C22,LT0001_02_C22,70,-0.002926,0.623379,0.695076,,LOW,MED,HIGH,2
LT0001_02,D15,LT0001_02_D15,87,-0.00316,0.487293,0.740243,,LOW,MED,HIGH,2
LT0001_02,D16,LT0001_02_D16,88,-0.002317,0.004731,1.012815,,LOW,MED,HIGH,2
LT0001_02,E3,LT0001_02_E3,99,-0.003405,0.45429,1.327351,,LOW,MED,HIGH,2
LT0001_02,E11,LT0001_02_E11,107,0.003801,0.936912,0.619559,,MED,HIGH,HIGH,2
LT0001_02,E15,LT0001_02_E15,111,0.004139,0.932952,1.517828,,MED,HIGH,HIGH,2
LT0001_02,E23,LT0001_02_E23,119,-0.004802,-0.022297,0.779215,,LOW,MED,HIGH,2
LT0001_02,F4,LT0001_02_F4,124,-0.004016,0.120895,1.07878,,LOW,MED,HIGH,2
LT0001_02,F17,LT0001_02_F17,137,-0.002196,0.589411,0.775591,,LOW,MED,HIGH,2
LT0001_02,F18,LT0001_02_F18,138,-0.002666,0.134103,0.706472,,LOW,MED,HIGH,2
LT0001_02,G13,LT0001_02_G13,157,-0.001474,1.548366,0.408881,,LOW,HIGH,MED,2
LT0001_02,G20,LT0001_02_G20,164,0.057015,1.19199,-0.032593,,HIGH,HIGH,MED,2
LT0001_02,I9,LT0001_02_I9,201,0.001418,-0.081794,0.67378,,MED,LOW,HIGH,2
LT0001_02,I13,LT0001_02_I13,205,0.069781,1.212161,0.39878,,HIGH,HIGH,MED,2
LT0001_02,J10,LT0001_02_J10,226,0.083709,0.433287,0.732113,,HIGH,MED,HIGH,2
LT0001_02,J20,LT0001_02_J20,236,-0.00342,0.947359,0.445292,,LOW,HIGH,MED,2
LT0001_02,K2,LT0001_02_K2,242,-0.001702,-0.14834,0.562045,,LOW,LOW,MED,2
LT0001_02,K4,LT0001_02_K4,244,0.047829,0.825664,-0.829792,,HIGH,MED,LOW,2
LT0001_02,K16,LT0001_02_K16,256,-0.001846,-0.074374,0.559494,,LOW,LOW,MED,2
LT0001_02,K20,LT0001_02_K20,260,-0.002451,0.332661,0.925096,,LOW,MED,HIGH,2
LT0001_02,L3,LT0001_02_L3,267,-0.003422,-0.37555,-0.333363,,LOW,LOW,MED,2
LT0001_02,L15,LT0001_02_L15,279,-0.003385,0.52597,0.884494,,LOW,MED,HIGH,2
LT0001_02,M8,LT0001_02_M8,296,0.021564,-0.100894,-0.696458,yes,MED,LOW,LOW,2
LT0001_02,M13,LT0001_02_M13,301,0.114416,-0.162159,-0.859841,,HIGH,LOW,LOW,3
LT0001_02,M23,LT0001_02_M23,311,-0.004814,0.457365,0.830879,,LOW,MED,HIGH,2
LT0001_02,O17,LT0001_02_O17,353,-0.003903,-0.293854,0.487015,,LOW,LOW,MED,2
LT0001_02,O23,LT0001_02_O23,359,-0.001793,0.144813,0.670385,,LOW,MED,HIGH,2
LT0001_09,G24,LT0001_09_G24,168,0.051556,0.90213,-0.568505,,HIGH,HIGH,MED,2
LT0001_12,A1,LT0001_12_A1,1,-0.001855,1.6287,-0.359144,,LOW,HIGH,MED,2
LT0001_12,A2,LT0001_12_A2,2,-0.004071,0.671158,1.091088,,LOW,MED,HIGH,2
LT0001_12,A9,LT0001_12_A9,9,-0.005459,0.984149,1.006665,,LOW,HIGH,HIGH,3
LT0001_12,A10,LT0001_12_A10,10,-0.00693,0.35276,1.039934,,LOW,MED,HIGH,2
LT0001_12,A24,LT0001_12_A24,24,-0.003609,-0.073154,-0.050841,,LOW,LOW,MED,2
LT0001_12,B1,LT0001_12_B1,25,-0.002057,0.927509,0.309148,,LOW,HIGH,MED,2
LT0001_12,B14,LT0001_12_B14,38,-0.005424,2.274334,-0.194157,,LOW,HIGH,MED,2
LT0001_12,B18,LT0001_12_B18,42,-0.003861,-0.072983,0.371802,,LOW,LOW,MED,2
LT0001_12,B19,LT0001_12_B19,43,-0.00751,0.126225,0.744222,,LOW,MED,HIGH,2
LT0001_12,C8,LT0001_12_C8,56,-0.006936,-0.225365,-0.830049,,LOW,LOW,LOW,3
LT0001_12,C11,LT0001_12_C11,59,-0.004816,-0.110524,0.254343,,LOW,LOW,MED,2
LT0001_12,C12,LT0001_12_C12,60,-0.006202,-0.071272,0.022397,,LOW,LOW,MED,2
LT0001_12,C21,LT0001_12_C21,69,-0.002066,-0.169298,0.764368,,LOW,LOW,HIGH,3
LT0001_12,D7,LT0001_12_D7,79,-0.009019,-0.277578,0.493753,,LOW,LOW,MED,2
LT0001_12,D11,LT0001_12_D11,83,-0.007875,-0.005149,0.639606,,LOW,MED,HIGH,2
LT0001_12,D17,LT0001_12_D17,89,-0.007547,0.783661,1.059606,,LOW,MED,HIGH,2
LT0001_12,E1,LT0001_12_E1,97,-0.002188,-0.085721,0.344901,,LOW,LOW,MED,2
LT0001_12,E4,LT0001_12_E4,100,0.051569,-0.190957,0.291425,,HIGH,LOW,MED,2
LT0001_12,E5,LT0001_12_E5,101,0.049352,-0.320292,-0.592007,,HIGH,LOW,MED,2
LT0001_12,E18,LT0001_12_E18,114,-0.00662,-0.0123,0.959606,,LOW,MED,HIGH,2
LT0001_12,E23,LT0001_12_E23,119,-0.009147,-0.492091,0.586879,,LOW,LOW,MED,2
LT0001_12,E24,LT0001_12_E24,120,-0.008753,-0.150836,0.094901,,LOW,LOW,MED,2
LT0001_12,F10,LT0001_12_F10,130,-0.008563,-0.194247,0.281829,,LOW,LOW,MED,2
LT0001_12,F12,LT0001_12_F12,132,-0.004047,-0.405314,0.211458,,LOW,LOW,MED,2
LT0001_12,F13,LT0001_12_F13,133,-0.003882,0.385773,0.760433,,LOW,MED,HIGH,2
LT0001_12,F18,LT0001_12_F18,138,-0.007646,-0.171228,0.077788,,LOW,LOW,MED,2
LT0001_12,G2,LT0001_12_G2,146,-0.005612,1.222265,0.003837,,LOW,HIGH,MED,2
LT0001_12,H1,LT0001_12_H1,169,-0.003991,0.270618,0.741425,,LOW,MED,HIGH,2
LT0001_12,H4,LT0001_12_H4,172,-0.003008,0.092005,0.924824,,LOW,MED,HIGH,2
LT0001_12,H5,LT0001_12_H5,173,-0.003051,1.235557,0.619606,,LOW,HIGH,HIGH,3
LT0001_12,H13,LT0001_12_H13,181,-0.003445,2.043971,-0.140394,,LOW,HIGH,MED,2
