Gene Symbol,technical_prompt,uniprot_prompt
ABCA1,HeLa cells with ABCA1 knockdown showing low migration (distance),"ABCA1 normally functions as Catalyzes the translocation of specific phospholipids from the cytoplasmic to the extracellular/lumenal leaflet of membrane coupled to the hydrolysis of ATP. Thereby, participates in phospholipid transfer to apolipoproteins to form nascent high density lipoproteins/HDLs. Transports preferentially phosphatidylcholine over phosphatidylserine. May play a similar role in the efflux of intracellular cholesterol to apolipoproteins and the formation of nascent high density lipoproteins/HDLs. Translocates phospholipids from the outer face of the plasma membrane and forces it through its gateway and annulus into an elongated hydrophobic tunnel in its extracellular domain"
ABCA10,HeLa cells with ABCA10 knockdown showing low migration (distance),ABCA10 normally functions as Probable transporter which may play a role in macrophage lipid transport and homeostasis
ABCA12,HeLa cells with ABCA12 knockdown showing high migration (distance) and migration (speed),"ABCA12 normally functions as Transports lipids such as glucosylceramides from the outer to the inner leaflet of lamellar granules (LGs) membrane, whereby the lipids are finally transported to the keratinocyte periphery via the trans-Golgi network and LGs and released to the apical surface of the granular keratinocytes to form lipid lamellae in the stratum corneum of the epidermis, which is essential for skin barrier function (PubMed:18802465, PubMed:18957418, PubMed:20489143, PubMed:24293640, PubMed:27551807). In the meantime, participates in the transport of the lamellar granules-associated proteolytic enzymes, in turn regulates desquamation and keratinocyte differentiation (PubMed:20489143, PubMed:27551807). Furthermore, is essential for the regulation of cellular cholesterol homeostasis by regulating ABCA1-dependent cholesterol efflux from macrophages through interaction with NR1H2 and ABCA1 (PubMed:18802465, PubMed:23931754). Plays pleiotropic roles in regulating glucose stimulated insulin secretion from beta cells, regulating the morphology and fusion of insulin granules, lipid raft abundance and the actin cytoskeleton (PubMed:32072744). Also involved in lung surfactant biogenesis (PubMed:18632686)"
ABCA13,HeLa cells with ABCA13 knockdown showing high migration (distance) and migration (speed),"ABCA13 normally functions as May mediate the cholesterol and gangliosides transport from the plasma membrane to intracellular vesicles in an ATP hydrolysis dependent manner, thus playing a role in their internalization by endocytic retrograde transport and may also participate in the endocytosis of synaptic vesicle in cortical neurons"
ABCA2,HeLa cells with ABCA2 knockdown showing high migration (distance) and increased proliferation,"ABCA2 normally functions as Probable lipid transporter that modulates cholesterol sequestration in the late endosome/lysosome by regulating the intracellular sphingolipid metabolism, in turn participates in cholesterol homeostasis (PubMed:17488728, PubMed:22748276). May alter the transbilayer distribution of ceramide in the intraluminal membrane lipid bilayer, favoring its retention in the outer leaflet that results in increased acid ceramidase activity in the late endosome/lysosome, facilitating ceramide deacylation to sphingosine leading to the sequestration of free cholesterol in lysosomes (By similarity). In addition regulates amyloid-beta production either by activating a signaling pathway that regulates amyloid precursor protein transcription through the modulation of sphingolipid metabolism or through its role in gamma-secretase processing of APP (PubMed:22086926). May play a role in myelin formation (PubMed:17060448)"
ABCA3,HeLa cells with ABCA3 knockdown showing high migration (distance) and increased proliferation,"ABCA3 normally functions as Catalyzes the ATP-dependent transport of phospholipids such as phosphatidylcholine and phosphoglycerol from the cytoplasm into the lumen side of lamellar bodies, in turn participates in the lamellar bodies biogenesis and homeostasis of pulmonary surfactant. Transports preferentially phosphatidylcholine containing short acyl chains. In addition plays a role as an efflux transporter of miltefosine across macrophage membranes and free cholesterol (FC) through intralumenal vesicles by removing FC from the cell as a component of surfactant and protects cells from free cholesterol toxicity"
ABCA4,HeLa cells with ABCA4 knockdown showing high migration (distance) and migration (speed),"ABCA4 normally functions as Flippase that catalyzes in an ATP-dependent manner the transport of retinal-phosphatidylethanolamine conjugates like the 11-cis and all-trans isomers of N-retinylidene-phosphatidylethanolamine from the lumen to the cytoplasmic leaflet of photoreceptor outer segment disk membranes, where N-cis-retinylidene-phosphatidylethanolamine (N-cis-R-PE) is then isomerized to its all-trans isomer (N-trans-R-PE) and reduced by RDH8 to produce all-trans-retinol (all-trans-rol) and therefore prevents the accumulation of excess of 11-cis-retinal and its schiff-base conjugate and the formation of toxic bisretinoid (PubMed:10075733, PubMed:10767284, PubMed:20552428, PubMed:22735453, PubMed:24707049). Displays both ATPase and GTPase activity that is strongly influenced by the lipid environment and the presence of retinoid compounds (PubMed:10767284). Binds the unprotonated form of N-retinylidene-phosphatidylethanolamine with high affinity in the absence of ATP and ATP binding and hydrolysis induce a protein conformational change that causes the dissociation of N-retinylidene-phosphatidylethanolamine (PubMed:15471866, PubMed:20552428, PubMed:22735453)"
ABCA5,HeLa cells with ABCA5 knockdown showing low migration (distance),ABCA5 normally functions as Cholesterol efflux transporter in macrophages that is responsible for APOAI/high-density lipoproteins (HDL) formation at the plasma membrane under high cholesterol levels and participates in reverse cholesterol transport. May play a role in the processing of autolysosomes
ABCA6,HeLa cells with ABCA6 knockdown showing high migration (distance) and migration (speed),ABCA6 normally functions as Probable transporter which may play a role in macrophage lipid transport and homeostasis
ABCA7,,"ABCA7 normally functions as Probable ATP-binding cassette (ABC) transporter that plays a role in lipid homeostasis and macrophage-mediated phagocytosis (PubMed:12917409, PubMed:15550377, PubMed:16908670, PubMed:20495215, PubMed:27030769, PubMed:27472885). Binds APOA1 and may function in apolipoprotein-mediated phospholipid efflux from cells (PubMed:12917409). May also mediate cholesterol efflux (By similarity). May regulate cellular ceramide homeostasis during keratinocyte differentiation (By similarity). Involved in lipid raft organization and CD1D localization on thymocytes and antigen-presenting cells, which plays an important role in natural killer T-cell development and activation (PubMed:28091533). Plays a role in phagocytosis of apoptotic cells by macrophages (PubMed:16908670). Macrophage phagocytosis is stimulated by APOA1 or APOA2, probably by stabilization of ABCA7 (PubMed:20495215). Also involved in phagocytic clearance of amyloid-beta by microglia cells and macrophages (PubMed:27472885). Further limits amyloid-beta production by playing a role in the regulation of amyloid-beta A4 precursor protein (APP) endocytosis and/or processing (PubMed:26260791, PubMed:27030769)"
